phi	theta	value
220	95	0.380925
220	100	0.1376
220	105	0.1376
220	110	0.1238
220	115	0.1146
220	120	0.1376
220	125	0.38652
220	130	0.7599
220	135	0.7599
220	140	0.402083333333333
220	145	0.100247058823529
220	150	0.1204
220	155	0.132909090909091
220	160	0.1376
220	165	0.241228571428571
220	170	-0.41382
220	175	100
220	180	100
225	5	100
225	10	100
225	15	-0.0876
225	20	1.2727
225	25	-1.03656666666667
225	30	-1.00776
225	35	-0.03598
225	40	0.1812
225	45	1.1109
225	50	1.1109
225	55	-0.0407
225	60	NA
225	65	NA
225	70	1.1109
225	75	1.1109
225	80	1.1109
225	85	1.1109
225	90	0.380925
225	95	0.1376
225	100	0.1376
225	105	0.26524
225	110	0.1031
225	115	0.1031
225	120	0.1261
225	125	0.345033333333333
225	130	0.7599
225	135	0.7599
225	140	0.168933333333333
225	145	0.1204
225	150	0.127482352941176
225	155	0.1376
225	160	-0.0507142857142857
225	165	0.454933333333333
225	170	-0.7485
225	175	100
225	180	100
230	5	100
230	10	100
230	15	NA
230	20	1.00064
230	25	-0.7485
230	30	-0.7485
230	35	-0.7485
230	40	-0.7485
230	45	-0.7485
230	50	-0.0876
230	55	-0.0876
230	60	NA
230	65	-0.0876
230	70	1.1109
230	75	1.1109
230	80	1.1109
230	85	NA
230	90	0.359371428571429
230	95	0.75856
230	100	0.862053333333333
230	105	0.9138
230	110	0.26524
230	115	0.1031
230	120	0.1031
230	125	NA
230	130	-0.7485
230	135	NA
230	140	0.0363129032258064
230	145	0.1204
230	150	0.1376
230	155	0.1376
230	160	-0.027175
230	165	0.58134
230	170	NA
230	175	100
230	180	100
235	5	100
235	10	100
235	15	100
235	20	-0.41805
235	25	-0.7485
235	30	-0.7485
235	35	-0.7485
235	40	0.1031
235	45	-0.1098
235	50	-0.7485
235	55	-0.0876
235	60	-0.0876
235	65	0.51165
235	70	1.1109
235	75	1.1109
235	80	0.1376
235	85	0.33165
235	90	0.870677777777778
235	95	0.9138
235	100	0.9138
235	105	0.9138
235	110	0.1497
235	115	0.05465
235	120	0.1031
235	125	NA
235	130	-0.7485
235	135	-0.222463157894737
235	140	0.1204
235	145	0.127566666666667
235	150	0.1376
235	155	0.1376
235	160	0.3645
235	165	-0.5419
235	170	100
235	175	100
235	180	100
240	5	100
240	10	100
240	15	100
240	20	NA
240	25	-0.7485
240	30	-0.7485
240	35	-0.7485
240	40	0.1031
240	45	0.1031
240	50	0.0395333333333333
240	55	-0.0876
240	60	-0.0876
240	65	0.51165
240	70	1.1109
240	75	0.1376
240	80	0.1376
240	85	0.816775
240	90	0.9138
240	95	0.9138
240	100	0.9138
240	105	0.9138
240	110	0.18772
240	115	0.0062
240	120	-0.268236363636364
240	125	-0.7485
240	130	-0.7485
240	135	-0.111306666666667
240	140	0.1204
240	145	0.133914285714286
240	150	0.1376
240	155	0.1376
240	160	0.6953
240	165	-0.7485
240	170	100
240	175	100
240	180	100
245	5	100
245	10	100
245	15	100
245	20	NA
245	25	0.1376
245	30	-0.526975
245	35	-0.7485
245	40	0.1031
245	45	0.1031
245	50	0.1031
245	55	-0.0240333333333333
245	60	-0.0876
245	65	NA
245	70	1.1109
245	75	1.1109
245	80	0.1376
245	85	0.622725
245	90	0.9138
245	95	0.9138
245	100	0.9138
245	105	0.968577777777778
245	110	1.0124
245	115	0.0976727272727273
245	120	-0.146911111111111
245	125	-0.7485
245	130	-0.83492
245	135	-0.7485
245	140	-0.05338
245	145	0.1376
245	150	0.1376
245	155	0.0757647058823529
245	160	1.1109
245	165	-0.7485
245	170	100
245	175	100
245	180	100
250	5	100
250	10	100
250	15	100
250	20	100
250	25	0.1204
250	30	-0.30545
250	35	-0.7485
250	40	NA
250	45	0.1031
250	50	0.1031
250	55	0.1031
250	60	0.1031
250	65	-0.0876
250	70	NA
250	75	1.1109
250	80	0.1376
250	85	0.1376
250	90	0.38372
250	95	0.2512
250	100	1.000075
250	105	1.0124
250	110	1.0124
250	115	1.0124
250	120	0.286657142857143
250	125	-1.1806
250	130	-0.96455
250	135	-0.7485
250	140	-0.20432
250	145	0.1376
250	150	0.123768421052632
250	155	0.0944928571428571
250	160	0.1031
250	165	100
250	170	100
250	175	100
250	180	100
255	5	100
255	10	100
255	15	100
255	20	100
255	25	0.1204
255	30	0.0268375
255	35	-0.96455
255	40	-1.1806
255	45	0.1031
255	50	0.1031
255	55	NA
255	60	NA
255	65	NA
255	70	-0.0876
255	75	NA
255	80	0.1376
255	85	-0.176114285714286
255	90	-0.4114
255	95	-0.4114
255	100	1.0124
255	105	1.0124
255	110	1.0124
255	115	1.0124
255	120	0.738275
255	125	-1.1806
255	130	-0.7485
255	135	-0.57995
255	140	-0.0735538461538462
255	145	0.1376
255	150	0.03905
255	155	0.2944875
255	160	0.1031
255	165	100
255	170	100
255	175	100
255	180	100
260	5	100
260	10	100
260	15	100
260	20	100
260	25	NA
260	30	0.1376
260	35	-0.12604
260	40	-1.1806
260	45	-1.1806
260	50	-0.7527
260	55	0.1031
260	60	NA
260	65	-0.7485
260	70	-0.0876
260	75	-0.0876
260	80	0.8806
260	85	-0.4114
260	90	-0.4114
260	95	-0.05545
260	100	1.0124
260	105	1.0124
260	110	1.0124
260	115	1.0124
260	120	-0.0841000000000001
260	125	-1.1806
260	130	-0.598677777777778
260	135	-0.4114
260	140	0.0278
260	145	0.118828571428571
260	150	0.0062
260	155	0.1031
260	160	NA
260	165	100
260	170	100
260	175	100
260	180	100
265	5	100
265	10	100
265	15	100
265	20	100
265	25	100
265	30	0.1376
265	35	0.1376
265	40	-0.9609
265	45	-1.1806
265	50	-1.1806
265	55	-0.96455
265	60	NA
265	65	-0.7485
265	70	-0.7485
265	75	-0.0876
265	80	0.8806
265	85	-0.176490909090909
265	90	-0.4114
265	95	-0.281963636363636
265	100	1.0124
265	105	1.0124
265	110	1.0124
265	115	0.734184615384615
265	120	-1.1806
265	125	-0.635422222222222
265	130	-1.12143076923077
265	135	-0.4114
265	140	-0.155328571428571
265	145	0.0062
265	150	0.57345
265	155	0.9138
265	160	100
265	165	100
265	170	100
265	175	100
265	180	100
270	5	100
270	10	100
270	15	100
270	20	100
270	25	100
270	30	0.1376
270	35	0.1376
270	40	-0.12604
270	45	-1.1806
270	50	-1.1806
270	55	-1.10858333333333
270	60	-0.7485
270	65	-0.7485
270	70	-0.7485
270	75	-0.7485
270	80	0.8806
270	85	0.8806
270	90	-0.303733333333333
270	95	-0.4114
270	100	-0.095
270	105	0.888591304347826
270	110	0.6973625
270	115	-1.1806
270	120	-0.42265
270	125	-1.04430555555556
270	130	-1.1806
270	135	-0.7091875
270	140	-0.159222222222222
270	145	0.0062
270	150	0.778683333333333
270	155	NA
270	160	100
270	165	100
270	170	100
270	175	100
270	180	100
275	5	100
275	10	100
275	15	100
275	20	100
275	25	100
275	30	NA
275	35	0.1376
275	40	0.1376
275	45	-1.1806
275	50	-1.1806
275	55	-1.1806
275	60	-0.7485
275	65	-0.7485
275	70	-0.7485
275	75	-0.7485
275	80	-0.7485
275	85	-0.0876
275	90	NA
275	95	0.0192666666666667
275	100	-0.6037
275	105	-0.796
275	110	-1.1806
275	115	-1.1806
275	120	-0.664115789473684
275	125	-1.1806
275	130	-1.1806
275	135	-0.1799
275	140	-0.263291666666667
275	145	0.3134
275	150	0.9138
275	155	NA
275	160	100
275	165	100
275	170	100
275	175	100
275	180	100
280	5	100
280	10	100
280	15	100
280	20	100
280	25	100
280	30	100
280	35	0.1376
280	40	0.1376
280	45	-0.5215
280	50	-1.1806
280	55	-1.1806
280	60	-1.1806
280	65	-0.7485
280	70	-0.7485
280	75	-0.7485
280	80	-0.7485
280	85	-0.0876
280	90	NA
280	95	-1.1806
280	100	-1.1806
280	105	-1.1806
280	110	-1.1806
280	115	0.659375
280	120	-0.853493333333333
280	125	-1.1806
280	130	-1.06941111111111
280	135	-0.1799
280	140	-0.322857142857143
280	145	-0.8814
280	150	-0.0253750000000001
280	155	100
280	160	100
280	165	100
280	170	100
280	175	100
280	180	100
285	5	100
285	10	100
285	15	100
285	20	100
285	25	100
285	30	100
285	35	NA
285	40	0.1376
285	45	-0.0507142857142857
285	50	-1.1806
285	55	-1.1806
285	60	-1.1806
285	65	-1.00776
285	70	-0.7485
285	75	-0.7485
285	80	-0.7485
285	85	-0.0876
285	90	-1.1806
285	95	-1.1806
285	100	-1.1806
285	105	-1.1806
285	110	-1.1806
285	115	-0.22601
285	120	-1.1806
285	125	-1.1806
285	130	-0.430075
285	135	-0.263291666666667
285	140	-1.1806
285	145	0.3597
285	150	NA
285	155	100
285	160	100
285	165	100
285	170	100
285	175	100
285	180	100
290	5	100
290	10	100
290	15	100
290	20	100
290	25	100
290	30	100
290	35	100
290	40	0.1376
290	45	0.1376
290	50	-0.7412
290	55	-1.1806
290	60	-1.1806
290	65	-1.1806
290	70	NA
290	75	-0.7485
290	80	-0.7485
290	85	-0.0876
290	90	-1.1806
290	95	-1.1806
290	100	-1.1806
290	105	-1.1806
290	110	NA
290	115	-1.043975
290	120	-1.1806
290	125	-0.795715384615385
290	130	-0.33225
290	135	-0.94582
290	140	-1.1806
290	145	-0.7485
290	150	100
290	155	100
290	160	100
290	165	100
290	170	100
290	175	100
290	180	100
295	5	100
295	10	100
295	15	100
295	20	100
295	25	100
295	30	100
295	35	100
295	40	NA
295	45	0.1376
295	50	0.1376
295	55	-1.1806
295	60	-0.1799
295	65	-0.430075
295	70	-0.35670625
295	75	-0.678642857142857
295	80	-0.6903
295	85	-0.519415384615385
295	90	-0.0876
295	95	-0.90735
295	100	-1.1806
295	105	-0.388366666666667
295	110	0.06496
295	115	-1.1806
295	120	-1.1806
295	125	-0.856363636363636
295	130	-0.7893
295	135	-1.11538333333333
295	140	-0.892533333333333
295	145	-0.7485
295	150	100
295	155	100
295	160	100
295	165	100
295	170	100
295	175	100
295	180	100
300	5	100
300	10	100
300	15	100
300	20	100
300	25	100
300	30	100
300	35	100
300	40	NA
300	45	NA
300	50	0.1376
300	55	0.1376
300	60	-0.333853846153846
300	65	-0.1799
300	70	-0.383033333333333
300	75	-0.7893
300	80	-0.7893
300	85	-0.7893
300	90	-0.752368421052632
300	95	-0.63675652173913
300	100	-0.0240333333333333
300	105	0.1031
300	110	0.1031
300	115	0.1031
300	120	-0.98495
300	125	-0.7893
300	130	-0.7893
300	135	-1.10858333333333
300	140	-0.7485
300	145	NA
300	150	100
300	155	100
300	160	100
300	165	100
300	170	100
300	175	100
300	180	100
305	5	100
305	10	100
305	15	100
305	20	100
305	25	100
305	30	100
305	35	100
305	40	100
305	45	NA
305	50	0.1376
305	55	0.1376
305	60	-0.1799
305	65	-0.1799
305	70	-0.1799
305	75	-0.6785
305	80	-0.7893
305	85	-0.7893
305	90	-0.7893
305	95	-0.7893
305	100	-0.7893
305	105	0.1031
305	110	0.1031
305	115	-0.07538
305	120	-0.7893
305	125	-0.7893
305	130	-1.00668888888889
305	135	-0.78114
305	140	-0.7485
305	145	100
305	150	100
305	155	100
305	160	100
305	165	100
305	170	100
305	175	100
305	180	100
310	5	100
310	10	100
310	15	100
310	20	100
310	25	100
310	30	100
310	35	100
310	40	100
310	45	NA
310	50	0.1376
310	55	0.1376
310	60	0.429725
310	65	-0.1799
310	70	-0.1799
310	75	-0.1799
310	80	-0.63695
310	85	-0.7893
310	90	-0.7893
310	95	-0.7893
310	100	-0.61082
310	105	0.1031
310	110	0.1031
310	115	-0.3227
310	120	-0.7893
310	125	-0.7893
310	130	-0.7893
310	135	-0.778172727272727
310	140	NA
310	145	100
310	150	100
310	155	100
310	160	100
310	165	100
310	170	100
310	175	100
310	180	100
315	5	100
315	10	100
315	15	100
315	20	100
315	25	100
315	30	100
315	35	100
315	40	100
315	45	100
315	50	0.1376
315	55	0.1376
315	60	0.32335
315	65	-0.1799
315	70	-0.1799
315	75	-0.1799
315	80	-0.1799
315	85	-0.315322222222222
315	90	-0.687733333333333
315	95	-0.586166666666667
315	100	-0.348557142857143
315	105	-0.0861444444444445
315	110	-0.626842857142857
315	115	-0.217242857142857
315	120	-0.31425
315	125	-0.7893
315	130	-0.787152631578947
315	135	-0.76482
315	140	100
315	145	100
315	150	100
315	155	100
315	160	100
315	165	100
315	170	100
315	175	100
315	180	100
320	5	100
320	10	100
320	15	100
320	20	100
320	25	100
320	30	100
320	35	100
320	40	100
320	45	100
320	50	NA
320	55	0.1376
320	60	0.1376
320	65	-0.1799
320	70	-0.1799
320	75	-0.1799
320	80	-0.1799
320	85	-0.1799
320	90	-0.1799
320	95	-0.1799
320	100	-0.7485
320	105	-0.7485
320	110	-0.7485
320	115	1.1109
320	120	-0.246385714285714
320	125	-0.7893
320	130	-0.78675
320	135	-0.7485
320	140	100
320	145	100
320	150	100
320	155	100
320	160	100
320	165	100
320	170	100
320	175	100
320	180	100
325	5	100
325	10	100
325	15	100
325	20	100
325	25	100
325	30	100
325	35	100
325	40	100
325	45	100
325	50	100
325	55	0.1376
325	60	0.1376
325	65	-0.0032
325	70	-0.1799
325	75	-0.1799
325	80	-0.1799
325	85	-0.1799
325	90	-0.1799
325	95	-0.40734
325	100	-0.7485
325	105	-0.7485
325	110	-0.1287
325	115	0.0250714285714286
325	120	-0.7893
325	125	-0.7893
325	130	-0.7893
325	135	100
325	140	100
325	145	100
325	150	100
325	155	100
325	160	100
325	165	100
325	170	100
325	175	100
325	180	100
330	5	100
330	10	100
330	15	100
330	20	100
330	25	100
330	30	100
330	35	100
330	40	100
330	45	100
330	50	100
330	55	NA
330	60	0.1376
330	65	0.12035
330	70	-0.0855666666666667
330	75	-0.1799
330	80	-0.1799
330	85	-0.1799
330	90	-0.201869230769231
330	95	-0.7485
330	100	-0.7485
330	105	-0.7485
330	110	0.0779
330	115	-0.78522
330	120	-0.7893
330	125	-0.7893
330	130	-0.7893
330	135	100
330	140	100
330	145	100
330	150	100
330	155	100
330	160	100
330	165	100
330	170	100
330	175	100
330	180	100
335	5	100
335	10	100
335	15	100
335	20	100
335	25	100
335	30	100
335	35	100
335	40	100
335	45	100
335	50	100
335	55	100
335	60	0.1376
335	65	0.1376
335	70	0.0402111111111111
335	75	-0.1799
335	80	-0.1799
335	85	-0.1799
335	90	0.0222428571428571
335	95	-0.06722
335	100	-0.1098
335	105	-0.7485
335	110	-0.7485
335	115	-0.7893
335	120	-0.7893
335	125	-0.7893
335	130	100
335	135	100
335	140	100
335	145	100
335	150	100
335	155	100
335	160	100
335	165	100
335	170	100
335	175	100
335	180	100
340	5	100
340	10	100
340	15	100
340	20	100
340	25	100
340	30	100
340	35	100
340	40	100
340	45	100
340	50	100
340	55	100
340	60	NA
340	65	0.1376
340	70	0.1146
340	75	-0.0855666666666667
340	80	-0.1799
340	85	-0.1233
340	90	0.1031
340	95	0.1031
340	100	0.1031
340	105	-0.653877777777778
340	110	-0.597381818181818
340	115	-0.363525
340	120	-0.7893
340	125	NA
340	130	100
340	135	100
340	140	100
340	145	100
340	150	100
340	155	100
340	160	100
340	165	100
340	170	100
340	175	100
340	180	100
345	5	100
345	10	100
345	15	100
345	20	100
345	25	100
345	30	100
345	35	100
345	40	100
345	45	100
345	50	100
345	55	100
345	60	100
345	65	NA
345	70	-0.7485
345	75	-0.7893
345	80	-0.7893
345	85	-0.7893
345	90	-0.0243857142857143
345	95	0.1031
345	100	0.01386
345	105	-0.7485
345	110	0.676328571428571
345	115	0.62995
345	120	-0.7893
345	125	100
345	130	100
345	135	100
345	140	100
345	145	100
345	150	100
345	155	100
345	160	100
345	165	100
345	170	100
345	175	100
345	180	100
350	5	100
350	10	100
350	15	100
350	20	100
350	25	100
350	30	100
350	35	100
350	40	100
350	45	100
350	50	100
350	55	100
350	60	100
350	65	100
350	70	-0.7485
350	75	-0.781881818181818
350	80	-0.7893
350	85	-0.7893
350	90	-0.7893
350	95	-0.7893
350	100	-0.7893
350	105	-0.96455
350	110	0.785930769230769
350	115	0.9138
350	120	100
350	125	100
350	130	100
350	135	100
350	140	100
350	145	100
350	150	100
350	155	100
350	160	100
350	165	100
350	170	100
350	175	100
350	180	100
355	5	100
355	10	100
355	15	100
355	20	100
355	25	100
355	30	100
355	35	100
355	40	100
355	45	100
355	50	100
355	55	100
355	60	100
355	65	100
355	70	100
355	75	-0.7893
355	80	-0.7893
355	85	-0.7893
355	90	-0.7893
355	95	-0.7893
355	100	-0.663333333333333
355	105	-0.47264
355	110	0.549233333333333
355	115	100
355	120	100
355	125	100
355	130	100
355	135	100
355	140	100
355	145	100
355	150	100
355	155	100
355	160	100
355	165	100
355	170	100
355	175	100
355	180	100
360	5	100
360	10	100
360	15	100
360	20	100
360	25	100
360	30	100
360	35	100
360	40	100
360	45	100
360	50	100
360	55	100
360	60	100
360	65	100
360	70	100
360	75	100
360	80	-0.7893
360	85	-0.7893
360	90	-0.694825
360	95	-0.4586375
360	100	-0.4114
360	105	-0.4114
360	110	100
360	115	100
360	120	100
360	125	100
360	130	100
360	135	100
360	140	100
360	145	100
360	150	100
360	155	100
360	160	100
360	165	100
360	170	100
360	175	100
360	180	100
